日期,平台,版本,一级页面,页面,分项,标签id,一级点击率,一级页曝光,一级页点击
20210818,android,书库,免费,女生,人物,total,0.3401885175664096,2334,794
20210818,android,书库,免费,女生,情节,total,0.5601440576230492,4165,2333
20210818,android,书库,免费,女生,热门,total,0.20599707459775718,4102,845
20210818,android,书库,免费,女生,风格,total,0.16590126291618829,1742,289
20210818,android,书库,免费,男生,人物,total,0.12053753223836025,7367,888
20210818,android,书库,免费,男生,流派,total,0.5092292342229983,8018,4083
20210818,android,书库,免费,男生,热门,total,0.3660130718954248,7956,2912
20210818,android,书库,免费,男生,风格,total,0.10377942998760843,3228,335
20210818,android,书库,全部,女生,人物,total,0.3513711151736746,2735,961
20210818,android,书库,全部,女生,情节,total,0.6365760407816483,4708,2997
20210818,android,书库,全部,女生,热门,total,0.14881720430107526,4650,692
20210818,android,书库,全部,女生,风格,total,0.21124729632299927,1387,293
20210818,android,书库,全部,男生,人物,total,0.25950477675960226,5129,1331
20210818,android,书库,全部,男生,流派,total,0.5678064033716267,14711,8353
20210818,android,书库,全部,男生,热门,total,0.3789727680110307,14505,5497
20210818,android,书库,全部,男生,风格,total,0.22847100175746923,2845,650
20210818,android,分类标签页-一级页,免费,女生,人物,total,0.18966565349544073,1645,312
20210818,android,分类标签页-一级页,免费,女生,全部分类,total,0.450062893081761,7950,3578
20210818,android,分类标签页-一级页,免费,女生,情节,total,0.19950603732162459,3644,727
20210818,android,分类标签页-一级页,免费,女生,热门,total,0.11751918158567774,7820,919
20210818,android,分类标签页-一级页,免费,女生,风格,total,0.1836925960637301,1067,196
20210818,android,分类标签页-一级页,免费,男生,人物,total,0.16012954300107954,2779,445
20210818,android,分类标签页-一级页,免费,男生,全部分类,total,0.3864027061498364,18033,6968
20210818,android,分类标签页-一级页,免费,男生,流派,total,0.3588324106693508,3974,1426
20210818,android,分类标签页-一级页,免费,男生,热门,total,0.11130742049469965,16414,1827
20210818,android,分类标签页-一级页,免费,男生,风格,total,0.12320764737121614,1883,232
20210818,android,分类标签页-一级页,全部,女生,人物,total,0.15985663082437276,1395,223
20210818,android,分类标签页-一级页,全部,女生,全部分类,total,0.5217981340118745,5895,3076
20210818,android,分类标签页-一级页,全部,女生,情节,total,0.2307373653686827,2414,557
20210818,android,分类标签页-一级页,全部,女生,热门,total,0.13617677286742036,5838,795
20210818,android,分类标签页-一级页,全部,女生,风格,total,0.23991507430997877,942,226
20210818,android,分类标签页-一级页,全部,男生,人物,total,0.19789356984478937,3608,714
20210818,android,分类标签页-一级页,全部,男生,全部分类,total,0.6200925870257921,16633,10314
20210818,android,分类标签页-一级页,全部,男生,流派,total,0.38919558359621453,5072,1974
20210818,android,分类标签页-一级页,全部,男生,热门,total,0.1726805758133046,15769,2723
20210818,android,分类标签页-一级页,全部,男生,风格,total,0.1998320738874895,2382,476
20210818,android,分类标签页-查看更多,二级页,二级页,二级页,total,0.8392603129445235,3515,2950
20210818,ios,书库,全部,女生,人物,total,0.26666666666666666,15,4
20210818,ios,书库,全部,女生,情节,total,0.6176470588235294,34,21
20210818,ios,书库,全部,女生,风格,total,0.0,8,0
20210818,ios,书库,全部,男生,人物,total,0.4,10,4
20210818,ios,书库,全部,男生,流派,total,0.6326530612244898,49,31
20210818,ios,书库,全部,男生,风格,total,0.0,5,0
20210818,ios,分类标签页-一级页,免费,女生,人物,total,0.11439114391143912,271,31
20210818,ios,分类标签页-一级页,免费,女生,全部分类,total,0.3357856016815554,1903,639
20210818,ios,分类标签页-一级页,免费,女生,情节,total,0.11972633979475485,877,105
20210818,ios,分类标签页-一级页,免费,女生,流派,total,0.5,2,1
20210818,ios,分类标签页-一级页,免费,女生,热门,total,0.07150368033648791,1902,136
20210818,ios,分类标签页-一级页,免费,女生,风格,total,0.16666666666666666,180,30
20210818,ios,分类标签页-一级页,免费,男生,人物,total,0.12974683544303797,316,41
20210818,ios,分类标签页-一级页,免费,男生,全部分类,total,0.26965654271927336,3523,950
20210818,ios,分类标签页-一级页,免费,男生,情节,total,0.0,2,0
20210818,ios,分类标签页-一级页,免费,男生,流派,total,0.255859375,512,131
20210818,ios,分类标签页-一级页,免费,男生,热门,total,0.049985799488781596,3521,176
20210818,ios,分类标签页-一级页,免费,男生,风格,total,0.091324200913242,219,20
20210818,ios,分类标签页-一级页,全部,女生,人物,total,0.10077519379844961,258,26
20210818,ios,分类标签页-一级页,全部,女生,全部分类,total,0.36069114470842334,1852,668
20210818,ios,分类标签页-一级页,全部,女生,情节,total,0.14833333333333334,600,89
20210818,ios,分类标签页-一级页,全部,女生,流派,total,0.0,2,0
20210818,ios,分类标签页-一级页,全部,女生,热门,total,0.07038440714672442,1847,130
20210818,ios,分类标签页-一级页,全部,女生,风格,total,0.24096385542168675,166,40
20210818,ios,分类标签页-一级页,全部,男生,人物,total,0.14803625377643503,662,98
20210818,ios,分类标签页-一级页,全部,男生,全部分类,total,0.4552864462040056,4294,1955
20210818,ios,分类标签页-一级页,全部,男生,流派,total,0.3053435114503817,917,280
20210818,ios,分类标签页-一级页,全部,男生,热门,total,0.09799813780260708,4296,421
20210818,ios,分类标签页-一级页,全部,男生,风格,total,0.1554524361948956,431,67
20210818,ios,分类标签页-查看更多,二级页,二级页,二级页,total,0.8541666666666666,432,369
20210819,android,书库,免费,女生,人物,total,0.3213128038897893,2468,793
20210819,android,书库,免费,女生,情节,total,0.5597888455359192,4357,2439
20210819,android,书库,免费,女生,热门,total,0.20831398049233626,4306,897
20210819,android,书库,免费,女生,风格,total,0.14892443463872035,1813,270
20210819,android,书库,免费,男生,人物,total,0.11618144888287069,7385,858
20210819,android,书库,免费,男生,流派,total,0.4976344621513944,8032,3997
20210819,android,书库,免费,男生,热门,total,0.3587901701323251,7935,2847
20210819,android,书库,免费,男生,风格,total,0.10881979695431472,3152,343
20210819,android,书库,全部,女生,人物,total,0.36136023916292975,2676,967
20210819,android,书库,全部,女生,情节,total,0.6406779661016949,4720,3024
20210819,android,书库,全部,女生,热门,total,0.15698924731182795,4650,730
20210819,android,书库,全部,女生,风格,total,0.20760233918128654,1368,284
20210819,android,书库,全部,男生,人物,total,0.26549730914889375,5017,1332
20210819,android,书库,全部,男生,流派,total,0.5691123935147019,14556,8284
20210819,android,书库,全部,男生,热门,total,0.3806905192816372,14366,5469
20210819,android,书库,全部,男生,风格,total,0.2357293868921776,2838,669
20210819,android,分类标签页-一级页,免费,女生,人物,total,0.15905147484094853,1729,275
20210819,android,分类标签页-一级页,免费,女生,全部分类,total,0.4447953358435564,8233,3662
20210819,android,分类标签页-一级页,免费,女生,情节,total,0.20586708203530635,3852,793
20210819,android,分类标签页-一级页,免费,女生,热门,total,0.11252000492428905,8123,914
20210819,android,分类标签页-一级页,免费,女生,风格,total,0.1781305114638448,1134,202
20210819,android,分类标签页-一级页,免费,男生,人物,total,0.1608540925266904,2810,452
